30638F1_1_315 ;30638F1_1_315_2 ;3085_UARFCN                                       ;         1
30638F1_1_315 ;30638F1_1_315_3 ;3085_UARFCN                                       ;         1
30638F1_1_315 ;30638F1_1_315_1 ;3085_UARFCN                                       ;         1
30128H1_1_213 ;30128H1_1_213_9 ;3085_UARFCN                                       ;         1
30128H1_1_213 ;30128H1_1_213_8 ;3085_UARFCN                                       ;         1
30128H1_1_213 ;30128H1_1_213_7 ;3085_UARFCN                                       ;         1
30128H1_1_213 ;30128H1_1_213_13;10836_UARFCN                                      ;         1
30128H1_1_213 ;30128H1_1_213_14;10836_UARFCN                                      ;         1
30128H1_1_213 ;30128H1_1_213_15;10836_UARFCN                                      ;         1
30180H1_1_213 ;30180H1_1_213_7 ;3085_UARFCN                                       ;         1
30180H1_1_213 ;30180H1_1_213_8 ;3085_UARFCN                                       ;         1
30180H1_1_213 ;30180H1_1_213_9 ;3085_UARFCN                                       ;         1
30180H1_1_213 ;30180H1_1_213_13;10836_UARFCN                                      ;         1
30180H1_1_213 ;30180H1_1_213_14;10836_UARFCN                                      ;         1
30180H1_1_213 ;30180H1_1_213_15;10836_UARFCN                                      ;         1
30144N1_1_409 ;30144N1_1_409_1 ;3085_UARFCN                                       ;         1
30144N1_1_409 ;30144N1_1_409_2 ;3085_UARFCN                                       ;         1
30144N1_1_409 ;30144N1_1_409_3 ;3085_UARFCN                                       ;         1
30031H1_1_313 ;30031H1_1_313_7 ;3085_UARFCN                                       ;         1
30031H1_1_313 ;30031H1_1_313_15;10836_UARFCN                                      ;         1
30031H1_1_313 ;30031H1_1_313_14;10836_UARFCN                                      ;         1
30031H1_1_313 ;30031H1_1_313_13;10836_UARFCN                                      ;         1
30031H1_1_313 ;30031H1_1_313_9 ;3085_UARFCN                                       ;         1
30031H1_1_313 ;30031H1_1_313_8 ;3085_UARFCN                                       ;         1
31124A1_1_315 ;31124A1_1_315_1 ;3085_UARFCN                                       ;         1
31124A1_1_315 ;31124A1_1_315_2 ;3085_UARFCN                                       ;         1
31124A1_1_315 ;31124A1_1_315_3 ;3085_UARFCN                                       ;         1
31177A1_1_116 ;31177A1_1_116_1 ;3085_UARFCN                                       ;         1
31177A1_1_116 ;31177A1_1_116_2 ;3085_UARFCN                                       ;         1
31177A1_1_116 ;31177A1_1_116_3 ;3085_UARFCN                                       ;         1
31177A1_1_116 ;31177A1_1_116_4 ;3085_UARFCN                                       ;         1
31181A1_2_411 ;31181A1_2_411_1 ;3085_UARFCN                                       ;         1
31181A1_2_411 ;31181A1_2_411_3 ;3085_UARFCN                                       ;         1
31181A1_2_411 ;31181A1_2_411_2 ;3085_UARFCN                                       ;         1
31135A1_1_315 ;31135A1_1_315_1 ;3085_UARFCN                                       ;         1
31135A1_1_315 ;31135A1_1_315_2 ;3085_UARFCN                                       ;         1
31135A1_1_315 ;31135A1_1_315_3 ;3085_UARFCN                                       ;         1
30261A1_1_315 ;30261A1_1_315_1 ;3085_UARFCN                                       ;         1
30261A1_1_315 ;30261A1_1_315_2 ;3085_UARFCN                                       ;         1
30261A1_1_315 ;30261A1_1_315_3 ;3085_UARFCN                                       ;         1
32288A1_1_109 ;32288A1_1_109_1 ;3085_UARFCN                                       ;         1
32288A1_1_109 ;32288A1_1_109_3 ;3085_UARFCN                                       ;         1
32288A1_1_109 ;32288A1_1_109_2 ;3085_UARFCN                                       ;         1
31120A1_1_115 ;31120A1_1_115_2 ;3085_UARFCN                                       ;         1
31120A1_1_115 ;31120A1_1_115_1 ;3085_UARFCN                                       ;         1
31120A1_1_115 ;31120A1_1_115_3 ;3085_UARFCN                                       ;         1
31185A1_1_115 ;31185A1_1_115_1 ;3085_UARFCN                                       ;         1
31185A1_1_115 ;31185A1_1_115_2 ;3085_UARFCN                                       ;         1
31185A1_1_115 ;31185A1_1_115_3 ;3085_UARFCN                                       ;         1
32270A1_1_110 ;32270A1_1_110_3 ;3085_UARFCN                                       ;         1
32270A1_1_110 ;32270A1_1_110_1 ;3085_UARFCN                                       ;         1
32270A1_1_110 ;32270A1_1_110_2 ;3085_UARFCN                                       ;         1
32304F1_1     ;32304F1_1_1     ;3085_UARFCN                                       ;         1
32304F1_1     ;32304F1_1_2     ;3085_UARFCN                                       ;         1
32304F1_1     ;32304F1_1_3     ;3085_UARFCN                                       ;         1
